gene_name	zscore	pvalue	disease_id	tissue	entrezgene
FAM110A	-0.7217094237858483	0.4704731469692121	C0027662	Thyroid	hsa:83541
SLC45A1	-0.7185410857200623	0.4724237243777194	C0027662	Thyroid	hsa:50651
SLC23A2	0.7179442518904892	0.4727916611491889	C0027662	Thyroid	hsa:9962
PIGQ	0.7173263378628155	0.4731727596086017	C0027662	Thyroid	hsa:9091
HACL1	-0.7152497488877826	0.474454733395246	C0027662	Thyroid	hsa:26061
ATP5C1	0.7151103019714355	0.4745408886893659	C0027662	Thyroid	hsa:509
BRD9	-0.7128103132157654	0.4759631429395112	C0027662	Thyroid	hsa:65980
ZBTB17	-0.7114465832710265	0.4768075409643462	C0027662	Thyroid	hsa:7709
PFN4	-0.7073725023892043	0.4793350203727722	C0027662	Thyroid	hsa:375189
DCAF11	-0.70668625831604	0.4797614710528188	C0027662	Thyroid	hsa:80344
TP53I3	0.7052779761660966	0.4806372635068131	C0027662	Thyroid	hsa:9540
RERE	0.7050259709358215	0.4807940741268547	C0027662	Thyroid	hsa:473
PPL	0.7019323706626893	0.4827213403298939	C0027662	Thyroid	hsa:5493
DSP	-0.6989895077283579	0.484558587952811	C0027662	Thyroid	hsa:1832
DDOST	-0.6962072312696376	0.4862990597109849	C0027662	Thyroid	hsa:1650
ANKRD28	0.6911084176734567	0.489497410764019	C0027662	Thyroid	hsa:23243
ADAP1	-0.691051268042858	0.4895333232810732	C0027662	Thyroid	hsa:11033
ASPA	0.6895286043321407	0.4904906789958292	C0027662	Thyroid	hsa:443
TMC2	-0.687442421913147	0.4918039726255662	C0027662	Thyroid	hsa:117532
ITIH2	0.686971346824891	0.4921007847900385	C0027662	Thyroid	hsa:3698
CLCNKA	-0.6845672374073055	0.4936170470837608	C0027662	Thyroid	hsa:1187
CASP9	-0.6840936540239982	0.4939160288412992	C0027662	Thyroid	hsa:842
LSP1	0.6833989024162294	0.4943548133978048	C0027662	Thyroid	hsa:4046
PLCL2	0.6832450628280641	0.4944520021129218	C0027662	Thyroid	hsa:23228
MARCH6	0.6801036596298217	0.4964388274132557	C0027662	Thyroid	hsa:10299
LYAR	0.6788138747215271	0.4972558013944522	C0027662	Thyroid	hsa:55646
SCIMP	0.6784396350738499	0.4974929857877399	C0027662	Thyroid	hsa:388325
ASB13	0.6783933192262176	0.497522343884373	C0027662	Thyroid	hsa:79754
MRPL40	-0.6772561369072134	0.4982434557430607	C0027662	Thyroid	hsa:64976
AC226118.1	-0.6730832457542419	0.5008943321744299	C0027662	Thyroid	hsa:442497
SF3B6	0.6720575094223022	0.5015470854157684	C0027662	Thyroid	hsa:51639
PSME1	0.6718670975798168	0.5016683083517148	C0027662	Thyroid	hsa:5720
DENND5A	-0.6699077773683696	0.50291658156227	C0027662	Thyroid	hsa:23258
UMAD1	-0.6682607531547547	0.5039671610034	C0027662	Thyroid	hsa:729852
SMYD4	-0.6667412286031424	0.5049374389540573	C0027662	Thyroid	hsa:114826
TRIO	-0.6601463556289673	0.5091599134313434	C0027662	Thyroid	hsa:7204
TRIM5	0.6590657234191896	0.5098535652167504	C0027662	Thyroid	hsa:85363
ARL8B	-0.6570615161912773	0.5111413625606733	C0027662	Thyroid	hsa:55207
LATS2	0.6530754945847799	0.5137076096070913	C0027662	Thyroid	hsa:26524
RFX3-AS1	-0.6517263345376735	0.5145777308987214	C0027662	Thyroid	hsa:101929302
MSRB1	-0.6505071821032092	0.5153646640201188	C0027662	Thyroid	hsa:51734
PADI2	-0.6504020902831763	0.5154325274617526	C0027662	Thyroid	hsa:11240
MBOAT2	-0.6495682597160339	0.5159711410945393	C0027662	Thyroid	hsa:129642
RHOT2	0.649032711982727	0.5163172325643464	C0027662	Thyroid	hsa:89941
AMZ1	-0.6464506945649852	0.517987518561048	C0027662	Thyroid	hsa:155185
AXIN1	0.6451609730720521	0.5188228742396497	C0027662	Thyroid	hsa:8312
PTX4	0.6439519524574281	0.5196065912479182	C0027662	Thyroid	hsa:390667
AURKAIP1	-0.6436615998104049	0.5197948959245153	C0027662	Thyroid	hsa:54998
BTD	-0.6433523297309875	0.5199955079811793	C0027662	Thyroid	hsa:686
WDR90	0.6433248868196267	0.5200133111107652	C0027662	Thyroid	hsa:197335
