gene	disease_id	correlation	tissue	cell	score	prediction_rank
NME1	C0027662	-0.10041346272323537	Thyroid	MCF7	0.10041346272323537	218.0
TERF1	C0027662	-0.10027613402558888	Thyroid	MCF7	0.10027613402558888	219.0
STK24	C0027662	-0.1002096039054925	Thyroid	MCF7	0.1002096039054925	220.0
ZNF300	C0027662	-0.10000495409616805	Thyroid	MCF7	0.10000495409616805	221.0
ZNF790	C0027662	-0.09998023880895657	Thyroid	MCF7	0.09998023880895657	222.0
NCK1-AS1	C0027662	-0.09981857339727718	Thyroid	MCF7	0.09981857339727718	223.0
CLPB	C0027662	-0.09941686301794439	Thyroid	MCF7	0.09941686301794439	224.0
DDR1	C0027662	-0.09899903080150296	Thyroid	MCF7	0.09899903080150296	225.0
ATG16L1	C0027662	-0.09885132850646405	Thyroid	MCF7	0.09885132850646405	226.0
WDR61	C0027662	-0.09831928632958942	Thyroid	MCF7	0.09831928632958942	227.0
STAT1	C0027662	-0.09783203653915717	Thyroid	MCF7	0.09783203653915717	228.0
MDH2	C0027662	-0.09781291574565998	Thyroid	MCF7	0.09781291574565998	229.0
EGFL8	C0027662	-0.0976737762729123	Thyroid	MCF7	0.0976737762729123	230.0
PSMB8	C0027662	-0.09756034343414743	Thyroid	MCF7	0.09756034343414743	231.0
PHYH	C0027662	-0.09734813533182662	Thyroid	MCF7	0.09734813533182662	232.0
GATA2-AS1	C0027662	-0.0970096936136009	Thyroid	MCF7	0.0970096936136009	233.0
GCAT	C0027662	-0.0967780109516998	Thyroid	MCF7	0.0967780109516998	234.0
(LINC00240)	C0027662	-0.09648547582316325	Thyroid	MCF7	0.09648547582316325	235.0
LOC284023	C0027662	-0.0963609125977738	Thyroid	MCF7	0.0963609125977738	236.0
SDHD	C0027662	-0.09609158174256427	Thyroid	MCF7	0.09609158174256427	237.0
CTSD	C0027662	-0.09608082604692036	Thyroid	MCF7	0.09608082604692036	238.0
GABPB2	C0027662	-0.09602049576216198	Thyroid	MCF7	0.09602049576216198	239.0
(G036240)	C0027662	-0.09584673438369018	Thyroid	MCF7	0.09584673438369018	240.0
B4GALT4	C0027662	-0.0958289507576664	Thyroid	MCF7	0.0958289507576664	241.0
XLOC_004250	C0027662	-0.09553286556127061	Thyroid	MCF7	0.09553286556127061	242.0
PASD1	C0027662	-0.09477678518523747	Thyroid	MCF7	0.09477678518523747	243.0
LAP3	C0027662	-0.09458057933895381	Thyroid	MCF7	0.09458057933895381	244.0
LOC100132215	C0027662	-0.09423394499824034	Thyroid	MCF7	0.09423394499824034	245.0
GATAD2B	C0027662	-0.09401071430046426	Thyroid	MCF7	0.09401071430046426	246.0
(AK097618)	C0027662	-0.09379272523611637	Thyroid	MCF7	0.09379272523611637	247.0
OGG1	C0027662	-0.09334839671637352	Thyroid	MCF7	0.09334839671637352	248.0
XLOC_L2_015034	C0027662	-0.09291205831836113	Thyroid	MCF7	0.09291205831836113	249.0
EXOC1L	C0027662	-0.09267043754721849	Thyroid	MCF7	0.09267043754721849	250.0
PSMB1	C0027662	-0.09196332606743929	Thyroid	MCF7	0.09196332606743929	251.0
PITPNA-AS1	C0027662	-0.09176714649137918	Thyroid	MCF7	0.09176714649137918	252.0
LINC01578	C0027662	-0.09149381847447557	Thyroid	MCF7	0.09149381847447557	253.0
XLOC_001398	C0027662	-0.09101001817148058	Thyroid	MCF7	0.09101001817148058	254.0
YKT6	C0027662	-0.09098580143094903	Thyroid	MCF7	0.09098580143094903	255.0
IDH3A	C0027662	-0.09082889713303266	Thyroid	MCF7	0.09082889713303266	256.0
(RP11-138J23.1)	C0027662	-0.09081907303273096	Thyroid	MCF7	0.09081907303273096	257.0
LOC648987	C0027662	-0.09053269402903075	Thyroid	MCF7	0.09053269402903075	258.0
XLOC_L2_008692	C0027662	-0.09039121297464914	Thyroid	MCF7	0.09039121297464914	259.0
ABCF2	C0027662	-0.09029581653955043	Thyroid	MCF7	0.09029581653955043	260.0
PSMA3-AS1	C0027662	-0.09016755783377506	Thyroid	MCF7	0.09016755783377506	261.0
AGPAT1	C0027662	-0.08987509935757676	Thyroid	MCF7	0.08987509935757676	262.0
PHF1	C0027662	-0.0898262784437085	Thyroid	MCF7	0.0898262784437085	263.0
LDHB	C0027662	-0.0893490051951904	Thyroid	MCF7	0.0893490051951904	264.0
CAV1	C0027662	-0.08931001056679766	Thyroid	MCF7	0.08931001056679766	265.0
PTPN2	C0027662	-0.08909718304835557	Thyroid	MCF7	0.08909718304835557	266.0
ZBTB24	C0027662	-0.08886563576836326	Thyroid	MCF7	0.08886563576836326	267.0
STK17A	C0027662	-0.08885497408603493	Thyroid	MCF7	0.08885497408603493	268.0
ZNF134	C0027662	-0.08869415195001684	Thyroid	MCF7	0.08869415195001684	269.0
ECD	C0027662	-0.08861727853918877	Thyroid	MCF7	0.08861727853918877	270.0
TAF15	C0027662	-0.0883632699139203	Thyroid	MCF7	0.0883632699139203	271.0
LOC101929099	C0027662	-0.08824203186221613	Thyroid	MCF7	0.08824203186221613	272.0
SIK1	C0027662	-0.08823583437196025	Thyroid	MCF7	0.08823583437196025	273.0
HEXIM1	C0027662	-0.08820785565597955	Thyroid	MCF7	0.08820785565597955	274.0
HMMR	C0027662	-0.08812461582412623	Thyroid	MCF7	0.08812461582412623	275.0
PPP2CB	C0027662	-0.08807210418876332	Thyroid	MCF7	0.08807210418876332	276.0
CISD1	C0027662	-0.08782230419883597	Thyroid	MCF7	0.08782230419883597	277.0
IP6K1	C0027662	-0.08772279285744777	Thyroid	MCF7	0.08772279285744777	278.0
ENTPD3-AS1	C0027662	-0.08688969519022671	Thyroid	MCF7	0.08688969519022671	279.0
XLOC_008583	C0027662	-0.08686639214477787	Thyroid	MCF7	0.08686639214477787	280.0
NFKBIA	C0027662	-0.08666381911466337	Thyroid	MCF7	0.08666381911466337	281.0
XLOC_L2_006404	C0027662	-0.08662720094656162	Thyroid	MCF7	0.08662720094656162	282.0
SNCA	C0027662	-0.08659306709512382	Thyroid	MCF7	0.08659306709512382	283.0
ALDH3A1	C0027662	-0.08644318266944451	Thyroid	MCF7	0.08644318266944451	284.0
RAB11B-AS1	C0027662	-0.08636335142080886	Thyroid	MCF7	0.08636335142080886	285.0
PRSS2	C0027662	-0.08625680640817546	Thyroid	MCF7	0.08625680640817546	286.0
FAM120A	C0027662	-0.08558055441775458	Thyroid	MCF7	0.08558055441775458	287.0
GNPDA1	C0027662	-0.08550732838277253	Thyroid	MCF7	0.08550732838277253	288.0
RPS6KA3	C0027662	-0.08483669998878973	Thyroid	MCF7	0.08483669998878973	289.0
SUOX	C0027662	-0.08436256982339141	Thyroid	MCF7	0.08436256982339141	290.0
DNAJA3	C0027662	-0.08418215227729431	Thyroid	MCF7	0.08418215227729431	291.0
AATK-AS1	C0027662	-0.08411615839717812	Thyroid	MCF7	0.08411615839717812	292.0
ERAP1	C0027662	-0.08403460964196108	Thyroid	MCF7	0.08403460964196108	293.0
EIF2AK1	C0027662	-0.08390453596648162	Thyroid	MCF7	0.08390453596648162	294.0
LOC105371453	C0027662	-0.08379897150400017	Thyroid	MCF7	0.08379897150400017	295.0
USP6NL	C0027662	-0.08364387944008289	Thyroid	MCF7	0.08364387944008289	296.0
ID2	C0027662	-0.08340757717681369	Thyroid	MCF7	0.08340757717681369	297.0
LIMK2	C0027662	-0.08330562911938633	Thyroid	MCF7	0.08330562911938633	298.0
XLOC_001532	C0027662	-0.08328912275939193	Thyroid	MCF7	0.08328912275939193	299.0
AKTIP	C0027662	-0.08275884303545533	Thyroid	MCF7	0.08275884303545533	300.0
PROCR	C0027662	-0.08273676086140092	Thyroid	MCF7	0.08273676086140092	301.0
AKT2	C0027662	-0.08246927645106306	Thyroid	MCF7	0.08246927645106306	302.0
MECP2	C0027662	-0.08213491392050143	Thyroid	MCF7	0.08213491392050143	303.0
PISD	C0027662	-0.08209091544867997	Thyroid	MCF7	0.08209091544867997	304.0
PRAME	C0027662	-0.08207779793781134	Thyroid	MCF7	0.08207779793781134	305.0
